测试类型,文件,编号,推荐分,特征标签,回放链接,json绝对地址,数据目录,类型,总赢,倍率,请求数,掉落次数,补牌总数,消除位置总数,wp中奖位置总数,wild总数(可见盘面),单次最大wild数(可见盘面),是否免费旋转,免费送胡,是否金色百搭,中奖线,Scatter,起始SID,结束SID,spinId,起始余额,结束余额,为什么要测
免费中大奖,084.json,84,220,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433&debugStart=84,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433/084.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433,Super Mega Win,3132.00,78.30,21,20,47,64,78,17,5,是,是,是,3,3,675899,675947,3181779667225277,9461494.0,9464586.0,Super Mega Win / 21段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换 / 多线中奖 3线
免费中大奖,382.json,382,220,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433&debugStart=382,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433/382.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433,Super Mega Win,2464.00,61.60,24,23,64,82,95,18,4,是,是,是,3,3,677251,677291,2501779669444275,9471148.0,9473572.0,Super Mega Win / 24段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换 / 多线中奖 3线
免费中大奖,508.json,508,200,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433&debugStart=508,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433/508.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433,Big Win,1276.00,31.90,33,32,56,75,81,19,4,是,是,是,3,3,677602,677741,5191779669892745,9472674.0,9473910.0,Big Win / 33段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换 / 多线中奖 3线
免费中大奖,782.json,782,200,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433&debugStart=782,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433/782.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433,Big Win,1256.00,31.40,44,43,106,138,156,32,4,是,是,是,3,3,678360,678491,9321779670807061,9470492.0,9476324.0,Big Win / 44段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换 / 多线中奖 3线
免费中大奖,612.json,612,200,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433&debugStart=612,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433/612.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433,Big Win,1180.00,29.50,20,19,48,61,76,13,4,是,是,是,4,3,677977,678025,9121779670385580,9472072.0,9473212.0,Big Win / 20段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换 / 多线中奖 4线
免费中大奖,946.json,946,200,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433&debugStart=946,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433/946.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433,Big Win,924.00,23.10,16,15,27,36,40,9,4,是,是,是,3,3,679035,679061,1171779671653950,9473940.0,9474824.0,Big Win / 16段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换 / 多线中奖 3线
免费中大奖,212.json,212,200,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433&debugStart=212,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433/212.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433,Big Win,896.00,22.40,21,20,47,61,76,14,4,是,是,是,4,3,676316,676377,5691779667806315,9464846.0,9466736.0,Big Win / 21段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换 / 多线中奖 4线
免费中大奖,325.json,325,195,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433&debugStart=325,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433/325.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433,Mega Win,1570.00,39.25,26,25,64,83,85,19,3,是,是,是,2,4,676924,676965,8421779668981711,9464570.0,9466100.0,Mega Win / 26段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
免费中大奖,377.json,377,185,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433&debugStart=377,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433/377.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433,Big Win,1084.00,27.10,18,17,30,39,41,9,3,是,是,是,2,3,677163,677238,7371779669345810,9470260.0,9471304.0,Big Win / 18段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
免费中大奖,938.json,938,185,免费旋转 / 免费中大奖 / 免费送胡 / 金色/百搭,https://fish-games.s3.amazonaws.com/MahjongWays2/index.html?env=ceshislot.osshaiwai.com&hasFloat=0&token=436475c81b51e6893c740657870f86b7&language=en&debug=1&debugDataPath=https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433&debugStart=938,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433/938.json,https://raw.githubusercontent.com/jygameclub/testdataapi/main/mahjong2date/0525_0433,Big Win,858.00,21.45,22,21,50,63,65,13,4,是,是,是,2,4,678952,679016,5691779671545134,9473320.0,9474138.0,Big Win / 22段连消/续转 / Scatter / Free Spin / 金色符号/百搭转换
